98.2.a.a:98.1:394.980:1:2026905699581932632:1:0:[-1,2,0,0,0,4,-6,-2,0,-6,4,2,-6,8,12,6,6,-8,-4,0,-2,8,6,6,10,0,4,12,2,6,-16,-18,18,-14,-18,8,4,-16,12,12,-12,-20,24,14,-18,-20,-4,-8,-18,4,-6,24,10,18,-18,0,12,16,-10,-6,22,-24,-2,24,10,6,8,14,-24,28,-18,-24,-8,14,-16,-36,18,-20,-18,-14,-6,-10,24,34,-8,-12,18,-10,-12,32,6,36,-16,-12,-4,0,-36,-6,-2,38,8,6,-30,6,32,-2,42,6,-24,-26,-32,2,6,-26,-16,-18,-14,12,18,-24,40,26,12,-12,46,18,-46,-12,-44,40,-16,24,-40,2,18,-14,-24,22,12,6,-2,6,-40,-36,-56,-12,-44,18,-14,-24,-22,54,20,36,44,48,56,-6,-2,24,24,-54,32,6,-6,36,-16,-8,-34,36,36,4,0,26,4,30,44,-30,16,-8,8,-30,-22,6,48,-36,-34,46,50,12,-2,-60,20,-60,-12,-66,14,26,6,24,30,28,40,-26,-18,-24,-20,0,30,58,-34,48,8,-42,24,-62,32,18,-24,-30,-22,40,18,56,30,26,-42,24,64,-48,50,-38,32,-6,46,0,58,30,-12,0,-72,-2,-32,-34,-42,12,16,-66,-40,0,-58,-66,48,-26,72,-60,74,10,0,34,8,48,-32,-56,42,10,54,6,-4,-6,76,56,46,32,-50,16,72,-10,-34,-42,24,-40,-12,-8,-50,48,2,78]
98.2.a.b:98.1:447.670:2:911422197423265053:1:0:[2,0,0,0,-4,0,0,0,-8,4,0,20,0,4,0,-4,0,0,24,-24,0,-8,0,0,0,0,0,-8,-4,-24,32,0,24,0,20,-32,0,20,0,0,24,0,-8,-32,4,0,-24,0,0,0,48,-24,0,0,0,24,0,0,-4,32,0,0,0,0,0,20,20,4,-60,0,0,-64,0,20,-52,0,52,0,-36,0,0,60,24,0,0,-8,60,48,0,32,0,0,24,-24,-8,0,0,0,0,20,-52,-60,0,20,-4,0,0,0,-32,0,0,-60,-52,0,88,52,0,0,-36,60,0,-24,0,24,0,60,20,0,0,0,-60,32,-8,4,0,0,0,0,0,-32,0,-36,80,-24,0,0,0,0,0,-8,-92,0,88,0,-88,-80,-64,0,0,0,-36,-52,-24,0,24,0,-32,0,32,0,24,0,-120,80,0,0,-24,-60,0,0,104,0,60,0,80,0,108,0,-8,0,0,-24,-8,0,24,0,-60,20,0,0,108,0,0,0,0,0,0,132,88,0,20,0,32,0,0,0,-32,0,48,60,76,0,-36,-8,0,-52,0,-88,0,-36,-116,0,32,-60,0,0,0,-92,88,0,108,0,0,-36,0,0,0,0,52,-80,4,0,136,0,0,104,-4,0,0,0,-88,116,0,0,0,0,-108,0,88,-4,0,-4,0,-64,0,0,132,52,-8,0,0,80,0,0,0,48,-4,4]
98.2.c.a:98.67:481.040:2:1069848945958556601:0:0:[1,-2,0,0,0,8,6,2,0,-12,-4,-2,-12,16,-12,-6,-6,8,4,0,2,-8,12,-6,20,0,-4,-12,-2,12,-32,18,-18,-28,18,-8,-4,16,24,-12,12,-40,-24,-14,-36,20,-8,-16,18,-4,6,48,-10,36,18,0,-12,-16,10,-12,-22,-48,-4,-24,-10,-6,-8,28,24,56,18,24,8,-14,-32,36,-18,20,18,14,-12,-20,-24,68,8,12,36,10,-24,64,-6,-36,16,-24,4,0,36,6,2,-38,16,-6,30,-6,-32,2,84,-6,24,-52,32,-2,12,26,-32,18,-28,-12,-18,-48,-40,52,-12,12,-46,36,46,12,-88,-40,16,48,40,4,-18,-28,24,-22,24,-6,-4,-6,40,-72,56,-24,-88,-18,14,24,22,108,40,-36,-44,96,-56,6,-4,-24,-24,-108,64,-6,6,-36,16,8,-68,-36,-36,8,0,-26,-4,60,88,30,32,8,-8,-60,-44,-6,-48,36,34,-46,-50,-12,2,-120,-20,60,12,66,-14,-26,12,-24,-30,56,-40,26,-36,24,20,0,60,-58,34,96,16,42,-24,62,-32,-18,24,-60,22,80,-18,-56,60,52,42,-24,-64,48,-50,38,64,6,92,0,-58,-30,-24,0,72,2,32,34,-84,-12,32,66,40,0,-116,66,-48,-52,-72,60,-74,-10,0,-34,-8,96,32,-112,-42,-10,108,12,-8,6,-76,-56,-46,-32,-100,-16,-72,10,34,42,-24,40,-24,-16,50,-48,-2,156]
98.2.c.b:98.67:11.860:2:84389186231716891:0:0:[1,2,0,0,0,-8,-6,-2,0,-12,4,-2,12,16,12,-6,6,-8,4,0,-2,-8,-12,6,-20,0,4,-12,-2,12,-32,-18,-18,28,18,-8,4,16,-24,12,12,40,-24,-14,-36,-20,-8,16,-18,4,6,48,10,-36,-18,0,12,16,10,-12,22,48,4,24,10,-6,-8,28,24,-56,-18,24,-8,-14,-32,-36,-18,-20,18,-14,12,-20,-24,-68,-8,12,36,10,24,64,6,36,16,-24,4,0,-36,-6,-2,-38,16,-6,-30,-6,-32,-2,-84,6,24,52,-32,-2,12,-26,-32,18,28,12,-18,-48,40,52,12,12,46,36,46,-12,88,40,16,48,40,4,18,28,-24,22,-24,-6,4,-6,40,-72,-56,24,88,18,-14,24,22,-108,40,36,-44,96,-56,-6,4,24,-24,-108,64,6,6,36,16,-8,-68,36,-36,-8,0,-26,4,-60,88,30,-32,-8,-8,60,-44,6,-48,-36,34,46,-50,12,-2,-120,-20,-60,12,-66,-14,-26,-12,24,-30,-56,40,-26,36,-24,-20,0,60,58,34,-96,16,-42,24,-62,-32,18,24,-60,22,-80,-18,-56,-60,52,-42,-24,64,48,-50,-38,64,6,-92,0,58,-30,-24,0,72,-2,-32,34,84,12,-32,-66,40,0,-116,-66,-48,52,72,60,-74,10,0,34,-8,96,-32,112,42,10,108,-12,-8,6,76,-56,46,-32,100,16,-72,10,34,-42,24,40,24,16,-50,-48,-2,156]
98.2.c.c:98.67:12.510:4:774612149656661354:0:0:[-2,0,0,0,4,0,0,0,8,8,0,-20,0,8,0,4,0,0,-24,-48,0,8,0,0,0,0,0,8,4,-48,64,0,-24,0,-20,32,0,-20,0,0,-24,0,8,32,8,0,-48,0,0,0,-48,-48,0,0,0,-24,0,0,4,64,0,0,0,0,0,-20,-20,8,60,0,0,64,0,-20,-104,0,-52,0,36,0,0,120,-24,0,0,8,120,-48,0,64,0,0,-24,-48,8,0,0,0,0,-20,-104,60,0,-20,4,0,0,0,32,0,0,60,-104,0,176,-52,0,0,36,120,0,-48,0,-24,0,120,-20,0,0,0,60,64,8,8,0,0,0,0,0,32,0,36,-80,-48,0,0,0,0,0,8,92,0,176,0,88,-160,64,0,0,0,36,-104,-48,0,-24,0,32,0,64,0,-24,0,120,-80,0,0,-48,60,0,0,-104,0,120,0,-80,0,-108,0,8,0,0,-48,8,0,-24,0,60,-20,0,0,-108,0,0,0,0,0,0,-132,176,0,-20,0,64,0,0,0,32,0,-48,120,-76,0,36,8,0,-104,0,88,0,36,116,0,64,60,0,0,0,92,176,0,-108,0,0,36,0,0,0,0,-52,-160,8,0,-136,0,0,-104,4,0,0,0,88,232,0,0,0,0,-216,0,176,4,0,4,0,64,0,0,-132,-52,8,0,0,-80,0,0,0,-48,4,8]
112.2.a.a:112.1:404.930:1:1890724171953078067:-1:1:[0,-2,-4,-1,0,0,-2,2,-8,2,-4,-6,-2,-8,4,-10,-6,4,12,0,-14,8,-6,10,-2,12,12,12,10,6,-8,-14,2,-18,-2,-16,0,-16,-12,8,4,8,8,-18,-18,4,-20,24,-14,-16,26,16,-2,14,18,0,-24,-32,22,-6,10,-12,2,24,14,6,-8,14,24,8,-30,0,-8,-34,0,-12,10,-8,30,6,-26,22,0,-26,-24,4,-14,22,0,16,-6,-4,8,36,-4,32,-24,-18,34,22,8,-26,-34,-42,16,18,-10,42,-40,10,32,10,6,-6,-32,-2,14,36,-22,40,20,10,-24,-12,-14,10,10,-36,-20,52,-16,16,-32,10,-42,-26,4,-22,-24,6,-30,6,-8,-36,20,-36,-32,6,14,-8,2,10,20,-36,28,8,-40,-2,18,-12,-40,10,24,26,-54,12,48,52,30,16,20,-48,0,-38,12,2,-20,42,32,-44,-16,-2,-14,-38,-24,-24,14,-14,-30,-12,-46,36,52,0,20,-30,46,2,58,8,14,-60,-28,58,18,36,52,-48,-34,38,-18,12,-16,-54,40,6,-48,38,24,-38,-30,56,-46,-48,2,50,-6,16,32,48,10,70,-16,58,-46,-48,62,-18,-28,48,-56,-62,64,46,42,-28,-16,-62,-72,-32,-10,50,-64,-54,-44,-12,2,22,-36,-42,-32,0,-36,52,30,22,70,10,-36,-30,40,8,-46,-24,-78,64,40,22,-34,42,24,-8,-84,-60,82,-24,66,-50]
112.2.a.b:112.1:9.710:1:1906385877600347715:1:0:[0,0,2,1,4,2,-6,-8,0,6,-8,-2,2,4,8,6,0,-6,4,8,10,-16,-8,-6,-6,2,16,12,-10,2,8,-8,-6,8,6,0,18,12,-16,18,4,10,16,-14,6,0,-12,0,8,10,-22,-8,10,-24,2,-24,-14,0,22,-6,-16,18,8,-8,-14,30,4,2,-12,-30,-14,0,-16,-26,4,24,-2,-14,18,-14,16,-26,8,10,-24,-36,34,-38,-30,16,8,24,16,12,4,-40,34,18,32,14,-36,14,-32,26,-28,-14,24,34,24,26,-32,-18,-38,32,-24,-30,-16,32,-26,12,2,-14,-6,-36,8,-42,30,-8,-16,26,-52,-32,8,-2,-30,-22,50,40,-30,26,-16,-10,-24,28,26,48,26,18,40,-16,6,18,20,16,28,-24,40,10,10,-54,-52,-6,16,-48,2,0,16,-14,2,-6,60,-14,-24,-22,-40,42,-4,46,24,-22,56,48,14,-6,40,-54,-18,8,-38,40,50,-4,20,18,36,-6,2,6,2,24,-2,-8,66,-30,-32,58,-24,28,-6,-24,50,18,64,-48,24,-46,-48,-6,24,22,62,8,-62,-72,56,-18,-6,-56,8,-28,38,0,64,10,-16,64,26,38,60,-8,28,16,-56,-34,18,48,-32,56,-76,0,-50,18,-40,-22,-54,36,-50,40,2,18,8,-36,34,-70,58,-64,-34,-70,-36,14,-14,60,74,8,18,-56,4,-2,58,-72,0,-40,-16,-46,-48,40,-46,22]
112.2.a.c:112.1:449.760:1:2000533991094873398:1:0:[0,2,0,-1,0,-4,6,-2,0,-6,4,2,6,-8,12,6,6,8,4,0,2,-8,6,-6,-10,0,4,-12,2,6,16,-18,18,-14,-18,-8,-4,16,12,-12,12,20,-24,14,-18,-20,4,-8,-18,-4,-6,-24,-10,18,18,0,-12,16,-10,-6,22,24,-2,24,-10,6,-8,14,24,-28,18,24,-8,14,16,-36,18,20,-18,14,-6,-10,-24,-34,-8,12,18,-10,12,-32,6,36,16,12,4,0,36,6,-2,38,-8,6,-30,6,-32,2,42,-6,24,26,-32,2,6,-26,16,-18,-14,12,18,24,-40,26,-12,12,46,18,-46,-12,-44,-40,16,-24,40,2,-18,14,24,22,-12,6,-2,6,40,36,56,-12,44,-18,-14,24,-22,-54,-20,36,-44,-48,-56,6,2,-24,-24,-54,-32,6,-6,36,16,8,-34,-36,-36,-4,0,26,4,-30,-44,-30,16,8,-8,-30,-22,-6,-48,36,-34,46,50,12,2,60,-20,60,12,66,14,26,-6,24,30,28,-40,26,-18,24,-20,0,30,58,-34,-48,-8,-42,24,62,-32,-18,24,-30,-22,40,18,-56,30,26,42,-24,64,48,50,-38,-32,-6,46,0,-58,30,12,0,72,-2,-32,-34,42,12,16,-66,40,0,-58,66,-48,26,-72,60,74,10,0,-34,-8,-48,32,56,-42,10,54,-6,4,-6,-76,-56,-46,-32,50,16,-72,-10,-34,-42,24,40,-12,8,-50,-48,2,78]
112.2.f.a:112.111:399.340:2:459551586922123861:0:0:[0,-4,0,4,0,0,0,-4,0,12,16,-4,0,0,0,12,-12,0,0,0,0,0,12,0,0,0,-8,0,28,-36,0,-36,-12,4,12,0,0,0,24,0,0,0,0,-4,-36,-40,0,32,12,0,-12,0,0,-60,0,0,0,16,-4,-12,-28,0,44,24,0,12,0,28,0,0,0,0,-16,28,0,-48,-36,0,60,0,60,-52,0,0,56,0,-60,-68,0,0,60,-48,0,0,0,-72,0,0,4,-4,0,-36,-36,-36,0,0,36,0,0,0,32,76,-36,52,0,60,-52,24,-36,0,0,-28,0,0,-20,60,-20,96,-56,0,0,0,0,-20,0,0,0,-68,0,60,-44,60,0,0,0,24,0,0,-28,0,76,0,0,-24,0,0,0,0,0,0,0,-12,0,36,-60,72,0,0,-4,0,0,0,0,20,-64,0,0,-84,40,0,0,12,-52,0,0,0,-20,-116,116,-48,0,0,0,0,0,0,-100,-100,0,-120,12,128,0,0,-60,0,-16,0,-36,-76,-68,0,0,-60,72,0,0,0,0,108,-68,-8,36,0,-36,92,0,0,-56,0,28,44,0,84,20,48,0,-84,0,-24,0,148,8,-4,0,72,-32,-36,0,0,-116,0,0,0,0,0,-4,-76,0,0,0,0,0,0,0,76,60,0,0,60,0,0,0,0,0,-104,0,92,-4,-84,96,0,72,0,-44,0,4,108]
112.2.f.b:112.111:12.770:2:1313472011990371016:0:0:[0,4,0,-4,0,0,0,4,0,12,-16,-4,0,0,0,12,12,0,0,0,0,0,-12,0,0,0,8,0,28,-36,0,36,-12,-4,12,0,0,0,-24,0,0,0,0,-4,-36,40,0,-32,-12,0,-12,0,0,60,0,0,0,-16,-4,-12,28,0,-44,-24,0,12,0,28,0,0,0,0,16,28,0,48,-36,0,60,0,-60,-52,0,0,-56,0,-60,-68,0,0,-60,48,0,0,0,72,0,0,-4,-4,0,-36,36,-36,0,0,-36,0,0,0,-32,76,-36,-52,0,60,52,-24,-36,0,0,-28,0,0,20,60,-20,-96,56,0,0,0,0,-20,0,0,0,68,0,60,44,60,0,0,0,-24,0,0,28,0,76,0,0,24,0,0,0,0,0,0,0,-12,0,-36,-60,-72,0,0,-4,0,0,0,0,20,64,0,0,-84,-40,0,0,-12,-52,0,0,0,-20,116,116,48,0,0,0,0,0,0,-100,-100,0,120,12,-128,0,0,60,0,16,0,-36,76,-68,0,0,60,-72,0,0,0,0,108,-68,8,36,0,36,92,0,0,56,0,28,-44,0,84,-20,-48,0,-84,0,24,0,-148,-8,-4,0,-72,32,36,0,0,-116,0,0,0,0,0,-4,76,0,0,0,0,0,0,0,-76,60,0,0,60,0,0,0,0,0,104,0,92,-4,84,-96,0,-72,0,44,0,4,108]
112.2.i.a:112.65:493.140:2:775013237321709872:0:0:[0,-1,1,4,3,-12,5,1,-7,4,-5,-3,-4,8,5,1,15,5,-9,0,-7,1,-24,-7,-4,-3,-15,9,5,-36,-16,5,-11,24,17,-5,9,13,24,13,-13,-20,-11,-3,-12,-13,8,48,11,-23,-11,-40,17,-32,21,-9,9,-7,17,12,-13,12,-8,15,1,-3,29,-20,15,4,-3,21,23,-11,-48,-3,29,17,-27,-27,-40,68,3,-4,21,-31,-52,17,-60,32,-3,31,7,48,-35,64,9,33,-7,41,16,5,-41,33,-13,33,40,45,-17,44,13,-43,60,-9,32,17,88,15,-35,-88,-23,-52,-39,27,5,-100,29,-39,-64,-19,-5,32,53,20,-3,44,-19,-17,36,-39,-24,9,47,72,-11,48,68,-39,1,17,-23,-28,40,-3,-1,-32,-11,-7,-12,33,37,44,-96,-35,-3,-21,15,41,60,-19,31,84,9,17,-21,-68,32,-15,-32,41,-47,-88,-52,41,-9,9,-59,-13,21,-45,1,-72,17,-63,67,-3,-19,1,44,-47,61,-48,37,53,-72,-39,-31,-39,52,31,-3,-108,-80,21,-37,-3,51,-11,-3,-4,-63,88,-23,21,-56,-92,-51,23,61,-3,41,47,-32,5,-56,15,13,-39,136,72,-25,41,-73,5,132,-23,112,59,-21,8,52,-47,-29,-84,-79,9,25,-13,132,-3,-25,120,21,68,-27,-55,20,-100,-120,-51,-7,-5,-11,-51,-36,-31,29,-55,1,33,3,-37,48,-12,-55,-3,81,20]
112.2.i.b:112.65:11.560:2:744271168064465235:0:0:[0,1,-3,4,-3,4,-3,-1,3,-12,-7,1,12,8,-9,-3,9,1,-7,0,1,-13,-24,-15,-20,-15,11,15,1,12,-16,3,21,-40,-3,17,13,11,24,9,21,-20,-9,-11,36,-7,8,-16,-3,-11,21,24,1,0,-3,-3,-3,11,13,60,29,12,56,-27,-23,9,-13,-68,9,52,21,15,5,25,-16,-33,-15,37,-3,-11,24,-44,-15,-20,-1,-9,-36,-23,-12,32,-21,-3,-19,-48,11,0,-3,-39,-1,-35,-16,33,9,9,29,1,-24,21,-27,28,47,25,12,-31,32,-15,-40,21,-39,-24,-11,28,-27,21,-13,-36,1,-21,-64,25,-19,96,-25,4,-3,-68,33,-31,84,33,104,-27,5,72,1,48,-44,-15,23,51,13,36,-88,39,41,-96,-1,9,52,-27,-45,-36,32,51,-27,33,-19,-59,-20,33,-39,100,3,-23,-7,12,-64,-3,32,13,-13,-24,76,-15,-27,21,-47,5,-11,-15,1,120,47,-27,21,45,-11,37,60,-21,9,80,-23,-35,-72,-3,-61,39,-12,41,37,-60,-16,27,-63,13,-31,-51,-57,-132,61,-40,-39,-25,-120,52,45,21,23,-45,61,65,32,-27,8,-3,-11,21,-120,72,-39,-1,29,-47,-60,-45,-16,45,5,72,4,-15,9,28,21,-57,37,-67,-108,61,5,120,25,52,45,23,36,-84,8,-63,61,29,-59,47,-116,11,3,13,-71,63,-63,65,48,100,-49,15,1,-60]
112.2.i.c:112.65:11.500:2:1891128517520674103:0:0:[0,3,1,-4,-1,4,-3,5,-3,-12,-1,5,-20,8,1,9,3,-3,11,-32,-7,-11,8,9,12,13,5,-3,-11,-20,16,17,-3,-8,-15,15,-15,9,40,21,-1,44,17,5,36,-9,-24,-48,7,-7,13,8,17,-48,13,3,17,-3,-7,-36,-17,12,-8,11,-31,-27,-7,28,3,-12,5,-15,19,-19,32,9,-19,17,-3,-19,-40,20,-41,-52,-15,-27,-4,17,-12,32,25,-21,-13,0,-7,-32,-7,-15,13,25,0,-11,11,1,-17,-31,-24,-43,-21,-68,-7,21,44,-5,0,-15,88,43,5,72,1,-4,9,39,-47,-36,-27,29,-32,-11,-41,-64,-47,68,-27,28,-35,-13,84,25,40,25,-21,8,37,48,-44,57,5,37,-39,36,-56,-55,-13,96,17,41,-76,-39,49,60,-64,57,37,-33,59,-31,-116,21,51,-28,45,1,-17,108,16,-7,0,25,37,-120,-116,-39,-13,33,21,31,-19,-25,1,88,-11,33,15,21,-11,33,28,-27,29,-16,-3,45,-40,-31,21,-19,-12,-45,-59,-60,-16,-63,15,37,39,-51,9,-4,1,40,-7,-15,40,-12,21,-13,73,25,49,51,32,-19,-56,-37,-11,73,72,56,59,29,-61,61,-60,-51,-112,-41,-41,24,-124,-15,7,124,9,-3,17,47,-44,-27,-29,-72,-43,52,-67,61,100,-116,72,61,-55,-9,-35,-71,108,-43,-7,-79,-31,-27,-9,79,112,-92,-3,-55,-47,68]
112.2.p.a:112.31:476.320:2:1946165404258841986:0:0:[0,-1,3,4,-3,0,-9,-7,15,-12,-5,5,0,0,-3,9,-9,15,9,0,3,-9,24,-21,0,-9,1,-9,-11,12,0,21,-3,-8,9,21,27,-21,24,15,-27,0,-21,5,-12,11,0,32,-21,-21,-3,0,-21,0,-33,-15,3,1,17,12,11,0,-40,-33,51,21,51,28,-15,0,-33,27,-1,13,0,-27,21,-21,-3,-9,24,20,-51,0,-19,39,-36,1,0,0,-3,-9,-15,0,-21,48,27,51,-23,-7,0,-3,15,-39,21,27,-24,-33,57,0,29,-11,-36,7,0,9,8,15,-3,0,-69,-100,-69,-75,13,60,-35,33,64,-33,-3,0,-69,52,-9,0,15,7,0,-15,-8,57,-39,0,15,0,0,75,41,-81,-47,0,0,-3,9,0,75,-45,0,51,51,-36,0,-3,-27,3,9,3,-100,87,-63,0,-9,17,-37,0,0,9,112,3,15,-72,44,27,33,3,37,-5,53,-21,75,0,-33,99,69,39,5,41,0,-15,-51,32,39,-33,-72,-117,17,15,-12,-25,13,0,0,-51,51,-81,-27,15,-21,-132,-23,-104,-39,99,-24,-124,-33,105,37,-93,49,-49,0,21,104,39,-57,33,0,-24,129,25,-49,-43,0,9,64,3,117,0,4,-45,-99,0,51,-57,41,35,0,-9,-111,0,135,0,15,-71,-60,0,0,-51,-141,-3,-129,-117,0,25,123,-31,17,57,75,93,-144,0,49,3,-23,-12]
112.2.p.b:112.31:11.720:2:2022670870653760867:0:0:[0,1,3,-4,3,0,-9,7,-15,-12,5,5,0,0,3,9,9,15,-9,0,3,9,-24,-21,0,-9,-1,9,-11,12,0,-21,-3,8,9,-21,27,21,-24,15,27,0,21,5,-12,-11,0,-32,21,-21,-3,0,-21,0,-33,15,3,-1,17,12,-11,0,40,33,51,21,-51,28,15,0,-33,-27,1,13,0,27,21,-21,-3,-9,-24,20,51,0,19,-39,-36,1,0,0,3,9,15,0,21,-48,27,51,23,-7,0,-3,-15,-39,-21,27,24,-33,-57,0,-29,-11,-36,-7,0,9,-8,-15,-3,0,-69,-100,-69,75,-13,60,-35,-33,-64,-33,3,0,69,52,-9,0,15,-7,0,-15,8,57,39,0,15,0,0,75,-41,81,-47,0,0,3,-9,0,-75,-45,0,51,-51,-36,0,3,-27,-3,-9,3,-100,87,63,0,9,17,37,0,0,9,-112,3,-15,72,44,27,-33,3,37,5,53,21,75,0,33,99,-69,39,5,41,0,15,-51,-32,39,-33,72,-117,-17,-15,-12,25,13,0,0,51,-51,-81,27,15,21,-132,-23,104,-39,-99,24,-124,-33,-105,-37,93,49,49,0,21,-104,-39,-57,33,0,24,-129,-25,49,-43,0,-9,-64,-3,-117,0,4,-45,99,0,51,57,41,-35,0,-9,111,0,135,0,15,71,-60,0,0,-51,-141,3,-129,117,0,-25,-123,-31,17,-57,-75,-93,144,0,-49,-3,-23,-12]
112.2.p.c:112.31:12.020:4:740267386817230937:0:0:[0,0,-6,0,0,0,18,0,0,0,0,-14,0,0,0,-6,0,6,0,0,-18,0,0,6,0,18,0,0,14,48,0,0,-42,0,30,0,-18,0,0,78,0,0,0,22,-48,0,0,0,0,-6,-42,0,-66,0,-6,0,102,0,34,0,0,0,0,0,-90,-30,0,-112,0,0,66,0,0,2,0,0,-42,-78,-42,66,0,64,0,0,0,0,48,2,0,0,0,0,0,0,0,0,90,150,0,-26,0,6,0,42,0,-66,0,-78,0,0,0,14,0,0,0,42,0,0,42,0,-18,112,-6,0,0,-168,-70,0,0,78,0,0,0,-112,90,0,-102,0,0,90,0,54,0,0,18,0,0,102,0,0,14,0,0,0,0,0,0,-162,0,-66,0,-48,0,0,-42,0,0,150,64,6,0,0,0,-14,0,0,0,42,0,-174,0,0,-56,-90,0,-186,-34,0,-98,0,-162,0,0,90,0,-150,70,-98,0,0,78,0,174,-150,0,-18,0,0,-120,0,14,0,0,0,0,-78,0,-102,0,-168,14,0,-30,0,0,112,-78,0,0,0,-70,0,0,78,0,0,90,30,0,0,0,0,0,58,0,0,0,0,0,0,-64,-90,0,0,-66,0,-14,0,0,90,0,0,186,0,186,0,-288,0,0,126,162,0,-150,0,0,0,0,-134,-110,0,0,0,0,0,0,0,-22,-48]
196.2.a.a:196.1:394.170:1:1449284123912416083:-1:1:[0,-1,-3,0,-3,-2,-3,1,3,-6,7,-1,-6,-4,9,3,-9,1,-7,0,1,-13,-12,-15,10,-15,-11,15,-1,6,8,-3,-21,-20,3,17,13,11,12,9,21,10,-9,11,18,7,-4,-8,3,-11,-21,-12,1,0,-3,-3,-3,-11,-13,30,-29,-6,28,27,-23,-9,-13,-34,9,-26,21,15,-5,-25,8,33,15,37,3,-11,12,-22,-15,10,1,-9,-18,23,6,-16,21,3,-19,24,11,0,-3,-39,1,35,8,-33,-9,-9,29,1,-12,21,-27,-14,-47,-25,6,31,-16,15,-20,-21,39,12,-11,14,-27,21,13,-18,-1,21,-32,25,-19,-48,-25,2,-3,34,33,31,-42,-33,52,27,5,-36,1,24,22,-15,-23,51,-13,-18,44,-39,41,48,-1,9,-26,-27,-45,-18,-16,-51,27,-33,-19,-59,-10,33,-39,-50,3,23,7,-6,32,3,16,13,-13,-12,38,-15,-27,21,47,-5,11,15,1,-60,47,-27,21,45,11,-37,-30,21,-9,40,-23,-35,-36,-3,61,39,-6,-41,-37,30,8,-27,63,13,-31,-51,-57,-66,-61,-20,39,-25,-60,26,45,21,-23,-45,-61,-65,-16,27,4,3,-11,-21,60,36,-39,1,-29,47,30,45,-8,-45,5,-36,2,-15,9,-14,21,-57,-37,67,54,61,5,-60,25,-26,45,-23,18,42,-4,63,61,29,-59,47,58,-11,3,-13,71,-63,63,65,24,-50,49,15,-1,-30]
196.2.a.b:196.1:442.350:1:1843187100868128596:1:0:[0,1,3,0,-3,2,3,-1,3,-6,-7,-1,6,-4,-9,3,9,-1,-7,0,-1,-13,12,15,-10,15,11,15,-1,6,8,3,-21,20,3,17,-13,11,-12,-9,21,-10,-9,11,18,-7,-4,8,-3,11,-21,-12,-1,0,3,-3,3,11,-13,30,29,6,-28,-27,23,-9,-13,-34,9,26,-21,15,5,-25,8,-33,15,-37,3,11,-12,-22,-15,-10,-1,-9,-18,23,-6,-16,-21,-3,-19,24,11,0,3,39,-1,35,8,-33,9,-9,29,-1,12,-21,-27,14,47,-25,6,-31,-16,15,20,21,39,12,11,14,27,21,-13,-18,-1,-21,32,-25,-19,-48,-25,2,3,-34,-33,-31,42,-33,-52,27,5,-36,-1,-24,-22,15,23,51,-13,18,44,39,41,48,-1,-9,26,27,-45,-18,-16,51,27,33,-19,59,-10,-33,-39,50,3,23,-7,6,32,3,-16,-13,-13,12,38,15,-27,-21,47,5,11,-15,-1,-60,47,27,21,-45,11,-37,30,-21,-9,-40,23,35,36,3,-61,39,-6,41,-37,-30,8,27,-63,-13,-31,51,-57,-66,-61,20,39,-25,60,26,-45,21,23,-45,-61,65,-16,27,-4,-3,11,-21,60,-36,-39,-1,29,47,-30,-45,8,45,5,-36,2,15,9,14,-21,-57,-37,-67,-54,-61,5,-60,-25,26,-45,23,18,-42,-4,63,-61,29,59,47,-58,11,3,-13,71,63,-63,65,-24,50,-49,15,-1,-30]
196.2.a.c:196.1:12.870:2:477762713760416120:1:0:[0,0,0,0,8,0,0,0,-8,16,0,-16,0,-8,0,20,0,0,0,0,0,16,0,0,0,0,0,16,-16,12,-40,0,0,0,20,-8,0,8,0,0,0,0,-32,-20,-20,0,48,0,0,0,0,-24,0,0,0,-48,0,0,44,32,0,0,0,0,0,-4,-40,16,-24,0,0,-40,0,20,-40,0,16,0,48,0,0,12,-72,0,0,-32,-36,60,0,80,0,0,-24,48,64,0,0,0,0,-28,-40,60,0,80,-40,0,0,0,16,0,0,48,-16,0,-32,16,0,0,-48,24,0,0,0,0,0,48,-16,0,0,0,-24,-40,-8,-80,0,0,0,0,0,4,0,12,80,96,0,0,0,0,0,-80,16,0,-80,0,-16,40,-16,0,0,0,120,20,24,0,96,0,-80,0,-76,0,48,0,48,32,0,0,-48,48,0,0,-40,0,48,0,-40,0,-60,0,64,0,0,48,-32,0,0,0,-48,80,0,0,-60,0,0,0,0,0,0,120,-68,0,80,0,-40,0,0,0,64,0,96,-48,-80,0,36,-8,0,80,0,56,0,120,-80,0,80,12,0,0,0,-140,64,0,-120,0,0,-60,0,0,0,0,136,-128,4,0,-80,0,0,-16,80,0,0,0,-88,104,0,0,0,0,36,0,160,-112,0,-40,0,-88,0,0,-120,-68,-68,0,0,32,0,0,0,72,68,-116]
